pregunta_id;pregunta;expected_text
68211;"1. A partir del caso ...";"Antes de iniciar la visita,la prioridad máxima del formador es necesario hacer la planificación de la intervención procurando que sea contextualizada y pertinente con el propósito que persigue. Para ello es preciso plantear un diagnóstico de necesidades formativas reales y del contexto: Es crucial identificar las necesidades formativas reales y específicas, contrastándolas con el propósito del programa formativo. Esto implica analizar las características, contextos y necesidades de los docentes. Ana Luisa, por ejemplo, ya está revisando costumbres y calendario comunal porque la población es quechua hablante, aplicando el principio de pertinencia y diversidad.Así también el formador debe asegurarse de evitar prejuicios sobre el desempeño docente y debe prepararse para asumir un comportamiento ético. Esto es vital para establecer los lazos de confianza, indispensables para iniciar cualquier diálogo reflexivo. Luego es importante que el formador prevea la ruta de trabajo y los recursos, diseñando procesos formativos que promuevan el desarrollo del juicio pedagógico y la autonomía. Debe planificar la observación de la práctica y preparar las preguntas claves para el diálogo reflexivo, basándose en la deconstrucción."
68212;"2. ¿Cómo podrías explicar ...";"Al director de la IE,le explicaría que el continuum de desarrollo profesional no es solo un marco teórico, sino una estrategia de política educativa para garantizar la calidad y la sostenibilidad de la formación. La relevancia se centra en los siguientes puntos: 1.	Visión integral y profesionalización docente: El continuum implica una visión integral y articulada que une la formación inicial con la formación en servicio. Explica que el desarrollo profesional es un proceso continuo y dinámico que promueve la docencia como una profesión en constante evolución. El director debe entender que sus docentes, aunque se preparan constantemente, necesitan esta progresión sistemática y coherente. 2.	Rol del formador como guía y modelo: En esta perspectiva, el formador no solo transmite conocimientos, sino que guía y acompaña al docente. El formador debe ser un modelo a seguir, demostrando las competencias que se esperan del docente (adaptabilidad, innovación). 3.	Mejora sostenida de la calidad educativa: Al asegurar que los formadores estén actualizados y que la formación sea coherente y profunda (desarrollo integral: conocimientos teóricos y habilidades prácticas), el continuum garantiza la mejora de la calidad de la enseñanza y el aprendizaje."
68213;"3. Desde tu propia ...";"El formador es, ante todo, un líder transformador de las prácticas educativas. Esta caracterización se despliega en cuatro dimensiones claves: 1.	Mediador de la reflexión crítica: esencial para promover la reflexión crítica sobre la práctica. Esto implica fomentar que los docentes cuestionen sus propias creencias, analicen sus acciones, y busquen nuevas formas de mejorar su enseñanza. La reflexión no es opcional, sino una responsabilidad profesional. 2.	Modelo ético y actitudinal: Ejercer un rol de modelado y ejemplo, ya que su acción pedagógica, ética y humana configura el modelo de docente. Debe mostrar coherencia entre el discurso y la acción (integridad), manejando los principios de respeto, probidad y equidad. 3.	Facilitador del desarrollo de competencias: Ayudar a los docentes a adquirir, desarrollar y perfeccionar las habilidades, conocimientos y actitudes para un desempeño eficaz. Debo utilizar metodologías activas y participativas que desarrollen el juicio pedagógico y la autonomía. 4.	Agente de cambio y comunidad de aprendizaje: Siendo un agente clave en la transformación de la práctica docente. Promoviendo la colaboración y el intercambio entre docentes, fomentando la creación de una cultura de mejora continua y la construcción colectiva de conocimiento pedagógico."
68214;"4. ¿Cómo se relacionan el ...";"La relación entre el enfoque colaborativo y la autonomía colegiada es simbiótica, uno es el medio necesario para lograr el otro, fortaleciendo la competencia del docente. •	El enfoque colaborativo busca superar la perspectiva individual de la formación y romper la cultura de aislamiento que históricamente ha menoscabado la construcción de conocimiento compartido. Este enfoque genera culturas profesionales de colaboración y propicia la participación activa de los docentes. •	Al interactuar productivamente con otros colegas, los docentes desarrollan habilidades para el trabajo en equipo y logran una autonomía colegiada. Esto empodera a los docentes a trabajar conjuntamente, especialmente dentro de las comunidades profesionales de aprendizaje (CPA). •	El fortalecimiento se produce en estas CPA, donde los docentes analizan e interpretan evidencias de aprendizaje y discuten interdisciplinariamente cómo mejorar los procesos pedagógicos. El resultado es una mejora continua de las prácticas individuales y colectivas, esencial para el desarrollo de competencias. "
68215;"5. Teniendo en cuenta la ...";"La secuencia metodológica (reflexión de la práctica pedagógica, comprensión de conocimientos y saberes, y aplicación en la práctica) es importante porque es la estructura que garantiza el aprendizaje situado, el pensamiento crítico-reflexivo, la autonomía y el enfoque por competencias. La importancia de cada fase radica en su contribución al proceso: •	Reflexión de la práctica pedagógica: Es crucial porque la formación docente en servicio debe partir de la identificación de las necesidades formativas reales y vinculadas a las experiencias en el aula. Inicia con un caso que promueve la reflexión personal y compartida, valorando la experiencia previa del docente.•	Comprensión de conocimientos y saberes: Permite al docente contrastar sus saberes con marcos teóricos y saberes ancestrales. Aquí se realiza el diálogo entre la experiencia y la teoría, lo cual es indispensable para la deconstrucción de la práctica pedagógica. •	Aplicación en la práctica: Es el momento de la transferencia. Asegura que el aprendizaje no sea aislado, sino que el docente elabore propuestas, rediseñe sesiones y practique la metacognición, asumiendo su propio proceso de desarrollo profesional. Es el paso final que posibilita la transformación de la Práctica (reconstrucción)."
68216;"6. De acuerdo con los ...";"El formador Roberto demostraba ser paciente porque comprendía que la reflexión crítico-reflexiva no es un proceso espontáneo, sino que es intencionada, sistemática y requiere acompañamiento. El desarrollo de la capacidad reflexiva es progresivo. Según el caso, Roberto orientaba a la docente María a pasar de un primer nivel al segundo y luego a un tercer nivel. •	El nivel 1 (prerreflexivo) es la dificultad para conectar eventos con el propio actuar. •	El nivel 2 (superficial) se centra en si las estrategias fueron aplicadas adecuadamente (aspectos técnicos). Este nivel se relaciona con la racionalidad técnica. •	El nivel 3 (reflexión pedagógica) implica que el docente busca sintonía entre su enseñanza y la teoría pedagógica (racionalidad práctica). El hecho de que Roberto fuera paciente y acompañara a María de forma gradual para pasar de un nivel a otro demuestra que aplica el principio de progresividad y entiende que la reflexión, especialmente la que implica cuestionar supuestos, debe ser acompañada para ser efectiva y lograr la mejora continua."
68217;"7. Según el caso analizado...";"Los aspectos éticos son centrales en el rol del formador, ya que modela una ética profesional. Los aspectos aludidos son: integridad, responsabilidad, veracidad y empatía. Formador Emilio: Aspecto Ético Aludido (Fallo o Fortaleza), Falta de empatía, regulación emocional y responsabilidad. No escucha, está preocupado por formularios y hace gestos de desagrado. Opinión Ética: Su comportamiento es una barrera actitudinal para la formación al no propiciar un clima de apertura. Su falta de empatía y su preocupación por los formularios sobre la interacción dificultan el establecimiento de lazos de confianza, lo que le impide ser un agente clave en la mejora. Formador Roberto: Aspecto ético aludido (Fallo o Fortaleza), Actuación ética, empatía y asertividad. Estableció adecuada conexión y dialogó con respeto. Opinión ética: Roberto modela la ética profesional y el liderazgo positivo. Al usar el diálogo respetuoso y la escucha, demuestra integridad y crea un clima favorable. Cumple con su función de facilitar y acompañar."
68225;"8. Si hubieras estado en el...";"Si me hubiera encontrado en la situación de Emilio, donde la docente Carmen manifestaba temor y desconfianza, habría priorizado la aplicación de las habilidades socioemocionales para crear un entorno favorable para la reflexión. Los aspectos a tener en cuenta y su justificación son: Empatía: Aplicación Práctica, Practicar la escucha activa, concentrándome en el mensaje de Carmen y sus emociones, no solo en llenar formularios. Usar frases como: "Entiendo lo que está sintiendo. Vamos a encontrar la mejor manera de ayudarla", justificación pedagógica y ética, La empatía es la capacidad de percibir lo que otros sienten. Es vital para evitar prejuicios y generar la confianza necesaria para que el docente se abra a la deconstrucción de su práctica. Regulación Emocional: Aplicación práctica, Evitar gestos de desagrado o reacciones impulsivas. Mantener un tono de voz modulado y recordar que la frustración personal no debe interferir con el propósito formativo, Justificación pedagógica y ética, El formador debe modelar la gestión de emociones. La falta de regulación emocional (como los gestos de desagrado de Emilio) daña la dignidad y destruye el clima de convivencia democrática. Comunicación Asertiva: Aplicación práctica, Asegurar un trato horizontal. Explicar el propósito del acompañamiento y del diálogo reflexivo de manera clara y respetuosa, sin imponer, Justificación pedagógica y ética, La comunicación asertiva permite transmitir la retroalimentación de manera clara y respetuosa, manteniendo el enfoque en la mejora de la práctica, y no en la calificación del desempeño personal de Carmen."
68264;"como base lo ...";"En mi rol de formador de la región de Piura, trabajando en el marco del programa de Lectura y Escritura en zonas rurales, me encontré con un desafío particular en el docente Carlos. Él poseía una planificación curricular extremadamente detallada, pero se negaba categóricamente a modificar cualquier estrategia metodológica con la justificación de que "lo preestablecido es lo correcto y eficiente". Esta rigidez reflejaba un supuesto prescriptivo que ignoraba la necesidad de adaptabilidad requerida en la perspectiva del continuum de desarrollo profesional. Para abordarlo, decidí aplicar un ciclo de observación de la práctica enfocado en el principio de pertinencia y diversidad. Mi recurso personal fue la regulación emocional, manteniendo la calma y un tono de voz modulado ante su resistencia, Durante el diálogo reflexivo le presenté la evidencia de que su planificación, al no incorporar los saberes ancestrales o el calendario comunal de los estudiantes quechua hablantes, no cumplía con el enfoque por competencias de la formación. Le pregunté: “¿Qué evidencia tiene de que la rigidez en la planificación garantiza resultados en este contexto, y no genera más bien un desinterés?”. Este proceso lo llevó a deconstruir su supuesto causal: "La no adaptación curricular garantiza el logro de objetivos". Me di cuenta de que mi labor no era imponer, sino mostrarle cómo su actuar tenía implicancias éticas en la equidad de la formación. El docente transitó hacia el nivel 3 de reflexión (pedagógica), al sintonizar su práctica con la necesidad real de sus estudiantes.La reflexión lo llevó a la resignificación profunda de su rol, entendiendo que el juicio pedagógico debe priorizar la pertinencia sobre la prescripción. Como compromiso de mejora, acordamos el rediseño de las tres siguientes sesiones para integrar la narrativa local, promoviendo así la autonomía y el desarrollo profesional continuo. Mi lección aprendida es que la integridad del formador se demuestra en la coherencia entre el discurso (pertinencia) y la acción (exigencia de adaptación). Este acompañamiento, centrado en la evidencia y el respeto, fortaleció la identidad profesional del docente y aseguró mi contribución activa a la transformación de las prácticas en la DRE Piura."
68863;"1. A partir del caso ...";"Antes de iniciar la visita,la prioridad máxima del formador es necesario hacer la planificación de la intervención procurando que sea contextualizada y pertinente con el propósito que persigue. Para ello es preciso plantear un diagnóstico de necesidades formativas reales y del contexto: Es crucial identificar las necesidades formativas reales y específicas, contrastándolas con el propósito del programa formativo. Esto implica analizar las características, contextos y necesidades de los docentes. Ana Luisa, por ejemplo, ya está revisando costumbres y calendario comunal porque la población es quechua hablante, aplicando el principio de pertinencia y diversidad.Así también el formador debe asegurarse de evitar prejuicios sobre el desempeño docente y debe prepararse para asumir un comportamiento ético. Esto es vital para establecer los lazos de confianza, indispensables para iniciar cualquier diálogo reflexivo. Luego es importante que el formador prevea la ruta de trabajo y los recursos, diseñando procesos formativos que promuevan el desarrollo del juicio pedagógico y la autonomía. Debe planificar la observación de la práctica y preparar las preguntas claves para el diálogo reflexivo, basándose en la deconstrucción."
